credit_provider_name;trading_names;registration_status;effective_date
"TSIBA FINANCIAL SOLUTION CC";"";"lapsed";"2014/03/31"
"LOUHEN FINANCIAL SERVICES PLUMSTEAD CC";"";"lapsed";"2014/03/31"
"MTUSE TRADING CC";"";"lapsed";"2014/03/31"
"SMA JHB 1 FINANCE CC";"";"lapsed";"2014/03/31"
"UTHUKELA MICRO LENDING SERVICES CC";"";"lapsed";""
"SEKHWAMA FINANCE CC";"";"lapsed";""
"ABAPHUMELELI TRADING 529 CC";"";"lapsed";"2014/03/31"
"LOUMAN FINANCE CC";"";"lapsed";"2014/03/31"
"JOHN MORLEY";"";"lapsed";"2018/11/23"
"AE JONAS (PTY) LTD";"BAVIAANS LOANS";"registered";"2017/11/22"
"PAT MANKA BUSINESS GROUP (PTY) LTD";"";"registered";"2017/11/21"
"MORE2LIFE FINANCIAL SERVICES (PTY) LTD";"MORE2LIFE";"registered";"2017/11/29"
"MNS AFRICA CONSULTING (PTY) LTD";"";"registered";"2017/11/29"
"CHENZHUANG (PTY) LTD";"";"registered";"2017/11/30"
"ITIRELENG FINANCIAL CONSULTANTS (PTY) LTD";"";"registered";"2017/11/30"
"JP MONEY (PTY) LTD";"";"registered";"2017/11/29"
"ASIAN INVESTMENT FINANCE (PTY) LTD";"";"registered";"2017/11/29"
"WESTSIDE CASH CONNECTION (PTY) LTD";"WESTSIDE CASH CONNECTION";"registered";"2017/11/29"
"SWP AGRI (PTY) LTD";"";"registered";"2017/11/10"
"MILOC DE AAR BK";"";"voluntarily_cancelled";"2014/09/03"
"CASH FOR YOUR POCKET CC";"";"voluntarily_cancelled";"2013/07/31"
"WESKUS MOTORS (PTY) LTD";"";"voluntarily_cancelled";"2013/11/16"
"MAGDALENA DOROTHEA KLEIN";"KLEIN CASH LOAN";"voluntarily_cancelled";"2010/10/05"
"MEMBER FINANCIAL SOLUTIONS (PTY) LTD";"";"voluntarily_cancelled";"2008/05/26"
"IQRAA TRUST (SOUTH AFRICA)";"";"voluntarily_cancelled";"2011/03/24"
